Count,Values,Labels,Misc,CPU-usage,Values-2,Units
0.404328528,228935236,dTLB-loads,9325851,9.23,2265.903,M/sec
0.404328528,0,dTLB-store-misses,5999803,5.94,0,K/sec
0.404328528,119952510,dTLB-stores,6000538,5.94,1187.239,M/sec
0.404328528,0,iTLB-load-misses,6000173,5.94,0,of all iTLB cache hits
0.404328528,0,iTLB-loads,6000321,5.94,0,K/sec
0.404328528,0,node-load-misses,8999425,8.91,0,K/sec
0.404328528,6,node-loads,11999978,11.88,0.059,K/sec
0.404328528,0,node-store-misses,6000331,5.94,0,K/sec
0.404328528,0,node-stores,5998884,5.94,0,K/sec
0.504550712,150219575,branches,10191826,10.1,1489.217,M/sec
0.504550712,23883,branch-misses,14189804,14.07,0.02,of all branches
0.504550712,9978049,bus-cycles,14988048,14.86,98.918,M/sec
0.504550712,19,cache-misses,15788089,15.65,1.727,of all cache refs
0.504550712,1672,cache-references,15999882,15.86,0.017,M/sec
0.504550712,259434351,cycles,15999206,15.86,2.572,GHz
0.504550712,745645879,instructions,19999563,19.83,2.86,insn per cycle
0.504550712,259506973,ref-cycles,23999006,23.79,2572.649,M/sec
0.504550712,0,alignment-faults,100875247,100,0,K/sec
0.504550712,0,bpf-output,100874659,100,0,K/sec
0.504550712,0,context-switches,100874037,100,0,K/sec
0.504550712,100.217928,cpu-clock,100873500,100,,
0.504550712,0,cpu-migrations,100872899,100,0,K/sec
0.504550712,0,dummy,100872330,100,0,K/sec
0.504550712,0,emulation-faults,100871726,100,0,K/sec
0.504550712,0,major-faults,100871155,100,0,K/sec
0.504550712,0,minor-faults,100870576,100,0,K/sec
0.504550712,0,page-faults,100869893,100,0,K/sec
0.504550712,100.218019,task-clock,100869277,100,,
0.504550712,11884,L1-dcache-load-misses,23999217,23.79,0.01,of all L1-dcache hits
0.504550712,230107603,L1-dcache-loads,20798566,20.62,2281.195,M/sec
0.504550712,120196831,L1-dcache-stores,8000441,7.93,1191.584,M/sec
0.504550712,1491,L1-icache-load-misses,8000176,7.93,,
0.504550712,0,LLC-load-misses,7999201,7.93,0,of all LL-cache hits
0.504550712,125,LLC-loads,12000034,11.9,0.001,M/sec
0.504550712,745,LLC-store-misses,7503078,7.44,0.007,M/sec
0.504550712,2584,LLC-stores,6702494,6.65,0.026,M/sec
0.504550712,24921,branch-load-misses,9902830,9.82,0.247,M/sec
0.504550712,149510506,branch-loads,13103922,12.99,1482.188,M/sec
0.504550712,0,dTLB-load-misses,12799396,12.69,0,of all dTLB cache hits
0.504550712,229822521,dTLB-loads,9600041,9.52,2278.369,M/sec
0.504550712,0,dTLB-store-misses,6399898,6.35,0,K/sec
0.504550712,120159457,dTLB-stores,6400394,6.35,1191.213,M/sec
0.504550712,0,iTLB-load-misses,6400202,6.35,0,of all iTLB cache hits
0.504550712,0,iTLB-loads,6400328,6.35,0,K/sec
0.504550712,50,node-load-misses,9599531,9.52,0.496,K/sec
0.504550712,0,node-loads,12799955,12.69,0,K/sec
0.504550712,0,node-store-misses,6400303,6.35,0,K/sec
0.504550712,0,node-stores,6399085,6.35,0,K/sec
0.604770472,150232453,branches,10493172,10.41,1490.947,M/sec
0.604770472,23828,branch-misses,14491416,14.38,0.02,of all branches
0.604770472,9980772,bus-cycles,15156753,15.04,99.052,M/sec
0.604770472,0,cache-misses,15823497,15.7,0,of all cache refs
0.604770472,1109,cache-references,16000167,15.88,0.011,M/sec
0.604770472,259494827,cycles,15999324,15.88,2.575,GHz
0.604770472,745298218,instructions,19999676,19.85,2.86,insn per cycle
0.604770472,259551539,ref-cycles,23999148,23.82,2575.859,M/sec
0.604770472,0,alignment-faults,100766173,100,0,K/sec
0.604770472,0,bpf-output,100765693,100,0,K/sec
0.604770472,0,context-switches,100765177,100,0,K/sec
0.604770472,100.220952,cpu-clock,100764742,100,,
0.604770472,0,cpu-migrations,100764247,100,0,K/sec
0.604770472,0,dummy,100763758,100,0,K/sec
0.604770472,0,emulation-faults,100763219,100,0,K/sec
0.604770472,0,major-faults,100762755,100,0,K/sec
0.604770472,0,minor-faults,100762262,100,0,K/sec
0.604770472,0,page-faults,100761746,100,0,K/sec
0.604770472,100.221132,task-clock,100761254,100,,
0.604770472,11551,L1-dcache-load-misses,23999232,23.82,0,of all L1-dcache hits
0.604770472,229855318,L1-dcache-loads,21332011,21.17,2281.146,M/sec
0.604770472,119925278,L1-dcache-stores,8000357,7.94,1190.171,M/sec
0.604770472,2099,L1-icache-load-misses,7621920,7.57,,
0.604770472,4969,LLC-load-misses,6955113,6.9,343.36,of all LL-cache hits
0.604770472,7612,LLC-loads,10289720,10.21,0.076,M/sec
0.604770472,765,LLC-store-misses,6667707,6.62,0.008,M/sec
0.604770472,278,LLC-stores,6666057,6.62,0.003,M/sec
0.604770472,23792,branch-load-misses,9999148,9.93,0.236,M/sec
0.604770472,150136864,branch-loads,13332708,13.23,1489.999,M/sec
0.604770472,0,dTLB-load-misses,13332292,13.23,0,of all dTLB cache hits
0.604770472,229771923,dTLB-loads,10666711,10.59,2280.318,M/sec
0.604770472,0,dTLB-store-misses,6666576,6.62,0,K/sec
0.604770472,120117914,dTLB-stores,6666920,6.62,1192.083,M/sec
0.604770472,0,iTLB-load-misses,6666872,6.62,0,of all iTLB cache hits
0.604770472,0,iTLB-loads,6666939,6.62,0,K/sec
0.604770472,0,node-load-misses,9999600,9.93,0,K/sec
0.604770472,0,node-loads,13333333,13.24,0,K/sec
0.604770472,0,node-store-misses,6666910,6.62,0,K/sec
0.604770472,0,node-stores,6665852,6.62,0,K/sec
0.704986469,150318318,branches,10708510,10.63,1492.953,M/sec
0.704986469,24127,branch-misses,14707008,14.61,0.02,of all branches
0.704986469,9984008,bus-cycles,15277511,15.17,99.161,M/sec
0.704986469,608,cache-misses,15848557,15.74,57.189,of all cache refs
0.704986469,833,cache-references,16000026,15.89,0.008,M/sec
0.704986469,259472386,cycles,15999381,15.89,2.577,GHz
0.704986469,744531371,instructions,19999599,19.86,2.86,insn per cycle
0.704986469,259533911,ref-cycles,23999127,23.84,2577.675,M/sec
0.704986469,0,alignment-faults,100687975,100,0,K/sec
0.704986469,0,bpf-output,100687555,100,0,K/sec
0.704986469,0,context-switches,100687102,100,0,K/sec
0.704986469,100.218502,cpu-clock,100686707,100,,
0.704986469,0,cpu-migrations,100686276,100,0,K/sec
0.704986469,0,dummy,100685878,100,0,K/sec
0.704986469,0,emulation-faults,100685417,100,0,K/sec
0.704986469,0,major-faults,100685007,100,0,K/sec
